"to_station","from_station","count"
"Bigelow Blvd & Fifth Ave","S Negley Ave & Baum Blvd",42
"Forbes Ave & Market Sq","First Ave & Smithfield St",45
"Isabella St & Federal St","Liberty & Stanwix",153
"S 12th St & E Carson St","Isabella St & Federal St",63
"Federal St & E North Ave","Forbes Ave & Market Sq",85
"First Ave & B St","Boulevard of the Allies & Parkview Ave",40
"Ross St & Sixth Ave","Centre Ave and Consol",80
"S Negley Ave & Baum Blvd","Liberty Ave & S Millvale",27
"Forbes Ave & Market Sq","Taylor St & Liberty Ave",34
"Stevenson St & Forbes Ave","S 18th St & Sidney St",126
"S 18th St & Sidney St","First Ave & B St",27
"Isabella St & Federal St","37th St & Butler St",56
"S 25th St & E Carson St","S 22nd St & E Carson St",32
"Forbes Ave & Grant St","Federal St & E North Ave",29
"Forbes Ave & Market Sq","S 18th St & Sidney St",61
"S Whitfield St & Baum Blvd","Penn Ave & N Fairmount St",39
"Maryland Ave & Walnut St","Ellsworth Ave & N Neville St",29
"Schenley Dr at Schenley Plaza","Zulema St & Coltart Ave",26
"Forbes Ave & Market Sq","12th St & Penn Ave",96
"Isabella St & Federal St","Ross St & Sixth Ave",40
"Atwood St & Bates","Boulevard of the Allies & Parkview Ave",33
"Fort Duquesne Blvd & 7th","12th St & Penn Ave",28
"Frew St & Schenley Dr","Fifth Ave & S Dithridge St",78
"Bigelow Blvd & Fifth Ave","Ellsworth Ave & N Neville St",29
"Isabella St & Federal St","21st St & Penn Ave",139
"Taylor St & Liberty Ave","42nd St & Penn Ave",28
"Schenley Dr at Schenley Plaza","Atwood St & Bates",38
"S Whitfield St & Baum Blvd","42nd St & Penn Ave",67
"12th St & Penn Ave","Isabella St & Federal St",41
"Ivy St & Walnut St","Taylor St & Liberty Ave",42
"42nd St & Butler St","Taylor St & Liberty Ave",52
"S 22nd St & E Carson St","First Ave & Smithfield St",49
"First Ave & Smithfield St","First Ave & B St",78
"Schenley Dr at Schenley Plaza","Fifth Ave & S Dithridge St",35
"S Whitfield St & Baum Blvd","S Negley Ave & Baum Blvd",28
"Liberty & Stanwix","Federal St & E North Ave",62
"17th St & Penn Ave","Isabella St & Federal St",53
"10th St & Penn Ave","Isabella St & Federal St",87
"S Euclid Ave & Centre Ave","Penn Ave & N Fairmount St",34
"Ellsworth Ave & N Neville St","S Whitfield St & Baum Blvd",42
"Forbes Ave & Market Sq","Ross St & Sixth Ave",26
"Isabella St & Federal St","12th St & Penn Ave",65
"Alder St & S Higland Ave","Ellsworth Ave & N Neville St",47
"Schenley Dr at Schenley Plaza","Fifth Ave & S Bouquet",57
"Fort Duquesne Blvd & 7th","37th St & Butler St",44
"Penn Ave & Putnam St (Bakery Sq)","Ivy St & Walnut St",41
"Liberty Ave & Baum Blvd","Alder St & S Higland Ave",37
"Federal St & E North Ave","Ridge Ave & Brighton Rd (CCAC)",44
"Third & Wood","Third & Wood",245
"S 22nd St & E Carson St","S 12th St & E Carson St",67
"Forbes Ave & Market Sq","37th St & Butler St",148
"Frew St & Schenley Dr","Maryland Ave & Walnut St",66
"Taylor St & Liberty Ave","Penn Ave & Putnam St (Bakery Sq)",38
"42nd St & Butler St","Liberty & Stanwix",39
