"date_part","count"
1446663600,17
1446667200,16
1446670800,27
1446674400,26
1446678000,16
1446681600,10
1446685200,5
1446688800,5
1446692400,4
1446696000,3
1446699600,1
1446703200,3
1446717600,3
1446721200,4
1446724800,14
1446728400,17
1446732000,15
1446735600,5
1446739200,16
1446742800,28
1446746400,20
1446750000,31
1446753600,19
1446757200,28
1446760800,29
1446764400,17
1446768000,9
1446771600,7
1446775200,7
1446778800,9
1446782400,3
1446786000,1
1446789600,2
1446793200,5
1446800400,1
1446804000,1
1446807600,6
1446811200,9
1446814800,10
1446818400,4
1446822000,8
1446825600,5
1446829200,6
1446832800,14
1446836400,8
1446840000,18
1446843600,25
1446847200,22
1446850800,9
1446854400,7
1446858000,9
1446861600,6
1446865200,8
1446868800,1
1446872400,2
1446876000,2
1446879600,6
1446883200,2
1446897600,7
1446901200,7
1446904800,20
1446908400,21
1446912000,18
1446915600,35
1446919200,6
1446922800,33
1446926400,30
1446930000,33
1446933600,5
1446937200,9
1446940800,15
1446944400,5
1446948000,1
1446951600,8
1446955200,1
1446958800,1
1446962400,4
1446966000,3
1446969600,1
1446984000,1
1446987600,5
1446991200,7
1446994800,12
1446998400,23
1447002000,20
1447005600,29
1447009200,17
1447012800,21
1447016400,20
1447020000,16
1447023600,11
1447027200,4
1447030800,6
1447034400,12
1447038000,1
1447041600,2
1447045200,4
1447059600,1
1447066800,2
1447070400,6
1447074000,15
1447077600,12
1447081200,10
1447084800,7
1447088400,13
1447092000,14
